,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
174,Little Rock,Sun Belt,,17,13,73.6,71.6,2,,-5.17,,-4.59,1.15,-3.44,,,
175,Robert Morris,NEC,,19,12,74.3,71,3.32,,-6.82,,-3.4,-0.1,-3.49,,,
176,Niagara,MAAC,,14,14,70.9,70.9,0.07,,-3.66,,-2.91,-0.69,-3.59,,,
177,Old Dominion,CAA,,15,15,74.7,79.4,-4.73,,1.59,,2.13,-5.85,-3.72,,,
178,North Texas,Southland,,15,14,81.8,79.4,2.45,,-5.93,,4.28,-8.07,-3.79,,,
179,Jacksonville,Sun Belt,,12,17,78,81.3,-3.31,,-0.5,,3.35,-7.15,-3.81,,,
180,Montana State,Big Sky,,14,14,77.6,76,1.57,,-3.94,,0.6,-4.5,-3.9,,,
181,Eastern Michigan,MAC,,9,22,69.7,72.9,-3.23,,1.85,,-2.21,-1.74,-3.95,,,
182,Central Michigan,MAC,,12,16,73.6,76.1,-2.5,,1.5,,2.12,-6.12,-4,,,
183,Hofstra,ECC,,20,9,72.6,66.7,5.9,,-9.99,,-6.64,2.54,-4.09,,,
184,Appalachian State,Southern,,15,14,76.9,75.1,1.79,,-3.93,,-2.44,-1.68,-4.12,,,
185,Saint Mary's (CA),WCC,,13,17,65.6,66.6,-1,,-2.27,,-10,5.83,-4.17,,,
186,Idaho,Big Sky,,18,14,73.1,72.8,0.28,,-4.09,,-3.33,-1.1,-4.43,,,
187,American,CAA,,11,18,73.8,78.9,-5.14,,0.7,,1.07,-5.51,-4.44,,,
188,Northern Illinois,Mid-Cont,,11,17,75,77,-2.04,,-1.18,,0.38,-4.89,-4.51,,,
189,Wichita State,MVC,,8,20,61.1,66.8,-5.75,,1.06,,-7.92,3.23,-4.69,,,
190,Wright State,Mid-Cont,,15,13,78.6,76,2.61,,-5.61,,2.81,-7.57,-4.76,,,
191,Creighton,MVC,,9,19,64.5,70,-5.5,,0.31,,-4.66,-0.53,-5.19,,,
192,Georgia State,A-Sun,,16,14,84.2,80.8,3.4,,-6.81,,1.16,-6.45,-5.29,,,
193,Yale,Ivy,,17,9,65.2,61.9,3.27,,-7.79,,-9.64,4.25,-5.39,,,
194,Oregon,Pac-10,,6,21,65.1,78.6,-13.41,,10.91,,-5.45,0.04,-5.41,,,
195,North Carolina-Wilmington,CAA,,13,15,74.3,74.9,-0.68,,-3.52,,-0.76,-4.68,-5.44,,,
196,Liberty,Big South,,22,7,76.3,66,10.31,,-14.06,,-2.49,-3.27,-5.75,,,
197,Akron,Mid-Cont,,16,12,69,70.3,-1.32,,-4.14,,-6.91,1.14,-5.77,,,
198,Portland,WCC,,10,18,80.9,84.5,-3.64,,-0.59,,6.88,-12.75,-5.87,,,
199,Stephen F. Austin,Southland,,15,13,68.5,67.7,0.82,,-6.97,,-10.83,4.86,-5.97,,,
200,Morehead State,OVC,,14,15,88.4,88,0.38,,-2.99,,7.7,-13.89,-6.19,,,
201,Fairfield,MAAC,,8,20,68.2,74.1,-5.86,,-0.41,,-5.13,-1.13,-6.27,,,
202,Texas A&M,SWC,,6,22,65.5,74.4,-8.89,,2.53,,-7.5,1.14,-6.36,,,
203,Drexel,NAC,,16,14,72.3,70.9,1.43,,-7.91,,-4.06,-2.41,-6.47,,,
204,Maine,NAC,,17,15,66.8,65.9,0.84,,-7.12,,-9.18,2.51,-6.67,,,
205,Vermont,NAC,,16,13,70,65.6,4.38,,-9.2,,-6.57,-0.22,-6.79,,,
206,Air Force,WAC,,9,20,62.7,69.6,-6.86,,1.88,,-9.25,2.44,-6.8,,,
207,Idaho State,Big Sky,,9,21,81,85.9,-4.93,,-1.91,,7,-13.91,-6.91,,,
208,Drake,MVC,,6,21,59.3,65.7,-6.41,,0.31,,-11.87,4.83,-7.04,,,
209,Mercer,A-Sun,,11,18,73.4,74.8,-1.41,,-4.5,,-5.29,-1.96,-7.25,,,
210,Columbia,Ivy,,10,16,70.8,72.8,-1.96,,-4.98,,-2.07,-5.19,-7.26,,,
211,Toledo,MAC,,7,20,58.4,65.1,-6.7,,-0.71,,-13.41,6.08,-7.34,,,
212,East Carolina,CAA,,10,18,72.4,75.8,-3.39,,-0.4,,-2.52,-4.84,-7.36,,,
213,Lehigh,Patriot,,14,15,82.2,82.4,-0.24,,-7.34,,6.37,-13.82,-7.45,,,
214,Southern,SWAC,,18,12,93.6,87.6,6.07,,-10,,9.1,-16.6,-7.5,,,
215,Central Florida,Sun Belt,,10,18,75.3,80.6,-5.29,,-2.65,,-0.06,-7.88,-7.93,,,
216,St. Bonaventure,A-10,,9,19,67,76.2,-9.21,,2.41,,-6.68,-1.28,-7.96,,,
217,Austin Peay,OVC,,11,17,79.9,86.8,-6.93,,-0.14,,4.46,-12.45,-7.99,,,
218,Nicholls State,Southland,,15,13,72.7,75.4,-2.71,,-5.38,,-4.97,-3.13,-8.1,,,
219,San Diego State,WAC,,2,26,65.4,78.5,-13.11,,4.78,,-4.37,-3.81,-8.18,,,
220,San Jose State,Big West,,2,24,63.4,76.7,-13.27,,5.08,,-6.24,-1.95,-8.19,,,
221,Bradley,MVC,,7,23,55.3,63.5,-8.23,,-0.06,,-16.41,8.12,-8.29,,,
222,Southeast Missouri State,OVC,,12,16,73.9,76.6,-2.71,,-3.97,,-3.67,-4.73,-8.4,,,
223,Radford,Big South,,20,9,77.6,72.7,4.93,,-12.05,,-2.03,-6.5,-8.53,,,
224,Mississippi Valley State,SWAC,,16,14,82.8,81.9,0.9,,-9.81,,0.87,-9.67,-8.81,,,
225,Western Illinois,Mid-Cont,,10,18,72.6,76.5,-3.82,,-3.58,,-3.01,-5.91,-8.92,,,
226,Jackson State,SWAC,,12,16,77.6,79.3,-1.68,,-6.19,,-4.08,-4.89,-8.96,,,
227,Marshall,Southern,,7,22,72.2,80.3,-8.14,,-0.2,,-2.41,-6.6,-9.01,,,
228,Alabama State,SWAC,,14,14,88.3,85,3.29,,-9.95,,3.02,-12.22,-9.2,,,
229,Northwestern State,Southland,,15,13,95,87.6,7.39,,-9.7,,9.7,-18.98,-9.28,,,
230,Fairleigh Dickinson,NEC,,14,14,69.3,71.4,-2.07,,-7.28,,-7.47,-1.89,-9.36,,,
231,Brown,Ivy,,11,15,68.2,73.6,-5.42,,-3.56,,-4.62,-4.82,-9.44,,,
232,William & Mary,CAA,,10,19,69.4,75.1,-5.69,,-2.3,,-5.01,-4.63,-9.63,,,
233,Cal State Northridge,Ind,,11,17,70.6,76.4,-5.79,,-1.67,,-6.66,-3.01,-9.67,,,
234,Saint Peter's,MAAC,,8,21,64.9,72.1,-7.24,,-2.46,,-9.54,-0.16,-9.7,,,
235,Rider,ECC,,16,13,70.8,70.1,0.69,,-11.13,,-8.01,-1.79,-9.81,,,
236,Texas Southern,SWAC,,15,14,76.8,77.2,-0.41,,-7.25,,-5.33,-4.81,-10.14,,,
237,Campbell,Big South,,19,12,69.3,67,2.29,,-10.81,,-9.65,-0.61,-10.25,,,
238,St. Francis (NY),NEC,,15,14,71.4,73.1,-1.72,,-8.62,,-5.65,-4.7,-10.35,,,
239,Colgate,Patriot,,14,14,70.8,73.1,-2.32,,-8.13,,-6.8,-3.65,-10.45,,,
240,Northeastern,NAC,,9,19,66.3,71,-4.68,,-5.79,,-8.16,-2.31,-10.47,,,
241,Eastern Washington,Big Sky,,6,21,69.6,75.9,-6.33,,-3.19,,-7.43,-3.11,-10.54,,,
242,Wagner,NEC,,16,12,71.8,71.5,0.36,,-10.56,,-6.28,-4.32,-10.59,,,
243,Lafayette,Patriot,,8,20,67.1,72.2,-5.11,,-4.1,,-8.3,-2.65,-10.95,,,
244,Cornell,Ivy,,7,19,68.1,72.4,-4.31,,-5.65,,-5.06,-5.95,-11.01,,,
245,Navy,Patriot,,6,22,73.5,78.3,-4.82,,-5.16,,-1.76,-9.25,-11.01,,,
246,Canisius,MAAC,,8,22,72.3,77.2,-4.93,,-3.8,,-3.19,-7.87,-11.05,,,
247,George Mason,CAA,,7,21,68.7,75.9,-7.18,,-2.18,,-7.28,-3.82,-11.1,,,
248,Marist,NEC,,10,20,73.1,74.1,-1.07,,-10.29,,-4.82,-6.53,-11.36,,,
249,Samford,A-Sun,,11,18,59.7,65.8,-6.14,,-5.25,,-19.46,7.81,-11.65,,,
250,Alcorn State,SWAC,,15,14,82.3,83.6,-1.28,,-10.3,,-0.43,-11.27,-11.7,,,
251,Coppin State,MEAC,,15,13,80.3,75.6,4.68,,-15.84,,-2.1,-9.67,-11.77,,,
252,Davidson,Big South,,11,17,69.5,69.1,0.32,,-6.74,,-8.73,-3.33,-12.06,,,
253,Maryland-Baltimore County,ECC,,10,19,81.9,87.3,-5.41,,-6.95,,5.42,-17.82,-12.4,,,
254,Texas State,Southland,,7,20,63.4,69.8,-6.33,,-4.07,,-15.3,2.87,-12.43,,,
